id,delivery_person_age,delivery_person_ratings,order_date,time_orderd,time_order_picked,weather_conditions,road_traffic_density,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_taken_min
0xcdcd,36.0,4.2,2022-02-12,1900-01-01 21:55:00,1900-01-01 22:10:00,fog,jam,Snack,motorcycle,3,no,metropolitan,46
0xd987,21.0,4.7,2022-02-13,1900-01-01 14:55:00,1900-01-01 15:05:00,stormy,high,Meal,motorcycle,1,no,metropolitan,23
0x2784,23.0,4.7,2022-03-04,1900-01-01 17:30:00,1900-01-01 17:40:00,sandstorms,medium,Drinks,scooter,1,no,metropolitan,21
0xc8b6,34.0,4.3,2022-02-13,1900-01-01 09:20:00,1900-01-01 09:30:00,sandstorms,low,Buffet,motorcycle,0,no,metropolitan,20
0xdb64,24.0,4.7,2022-02-14,1900-01-01 19:50:00,1900-01-01 20:05:00,fog,jam,Snack,scooter,1,no,metropolitan,41
0x3af3,29.0,4.5,2022-04-02,1900-01-01 20:25:00,1900-01-01 20:35:00,sandstorms,jam,Buffet,electric_scooter,1,no,metropolitan,20
0x3aab,35.0,4.0,2022-03-01,1900-01-01 14:55:00,1900-01-01 15:10:00,windy,high,Meal,scooter,1,no,metropolitan,33
0x689b,33.0,4.2,2022-03-16,1900-01-01 20:30:00,1900-01-01 20:40:00,sandstorms,jam,Snack,motorcycle,1,no,metropolitan,40
0x6f67,34.0,4.9,2022-03-20,1900-01-01 20:40:00,1900-01-01 20:50:00,cloudy,jam,Snack,motorcycle,0,no,metropolitan,41
0xc9cf,21.0,4.7,2022-02-15,1900-01-01 21:15:00,1900-01-01 21:30:00,windy,jam,Meal,motorcycle,1,no,urban,15
0x36b8,25.0,4.1,2022-03-16,1900-01-01 20:20:00,1900-01-01 20:25:00,sandstorms,jam,Snack,motorcycle,2,no,metropolitan,36
0x5795,31.0,4.7,2022-03-10,1900-01-01 22:30:00,1900-01-01 22:45:00,sandstorms,low,Meal,electric_scooter,0,no,metropolitan,26
0x6c6b,37.0,5.0,2022-03-11,1900-01-01 08:15:00,1900-01-01 08:30:00,sandstorms,low,Snack,motorcycle,1,no,metropolitan,20
0xb816,33.0,4.3,2022-03-27,1900-01-01 19:30:00,1900-01-01 19:45:00,windy,jam,Meal,scooter,1,no,metropolitan,39
0x539b,25.0,4.0,2022-03-26,1900-01-01 12:25:00,1900-01-01 12:30:00,cloudy,high,Buffet,motorcycle,1,no,metropolitan,34
0xa1b2,29.0,4.5,2022-03-27,1900-01-01 18:35:00,1900-01-01 18:50:00,sunny,medium,Meal,electric_scooter,1,no,metropolitan,15
0x3231,27.0,5.0,2022-04-05,1900-01-01 20:35:00,1900-01-01 20:40:00,stormy,jam,Snack,motorcycle,0,no,urban,18
0x8bc0,35.0,4.3,2022-03-12,1900-01-01 23:20:00,1900-01-01 23:30:00,cloudy,low,Drinks,scooter,0,no,metropolitan,38
